server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,
s79,kaixin001_s1,10.6.1.121,data/xy/shengbei_s79_9079,shengbei_lianyun_s79,10.6.3.39,kaixin001,3306,17914,42.62.56.250,
s80,pps_s1,10.6.3.172,data/xy/shengbei_s80_9080,shengbei_lianyun_s80,10.6.7.140,pps,3306,18014,42.62.56.251,
s81,8090_s1,10.6.6.218,data/xy/shengbei_s81_9081,shengbei_lianyun_s81,10.6.3.175,8090,3306,18114,42.62.50.108,
s82,360_s10,10.6.5.172,data/xy/shengbei_s82_9082,shengbei_lianyun_s82,10.6.4.208,360,3306,18214,42.62.56.196,
s83,360_s11,10.6.5.172,data/xy/shengbei_s83_9083,shengbei_lianyun_s83,10.6.4.208,360,3306,18314,42.62.56.196,
s84,360_s12,10.6.5.172,data/xy/shengbei_s84_9084,shengbei_lianyun_s84,10.6.4.208,360,3306,18414,42.62.56.196,
s85,360_s13,10.6.3.29,data/xy/shengbei_s85_9085,shengbei_lianyun_s85,10.6.6.246,360,3306,18514,42.62.56.127,
s86,360_s14,10.6.3.29,data/xy/shengbei_s86_9086,shengbei_lianyun_s86,10.6.6.246,360,3306,18614,42.62.56.127,
s87,360_s15,10.6.3.29,data/xy/shengbei_s87_9087,shengbei_lianyun_s87,10.6.6.246,360,3306,18714,42.62.56.127,
s88,360_s16,10.6.8.87,data/xy/shengbei_s88_9088,shengbei_lianyun_s88,10.6.6.246,360,3306,18814,42.62.56.247,
s89,u17_s3,10.6.5.81,data/xy/shengbei_s89_9089,shengbei_lianyun_s89,10.6.2.83,u17,3306,18914,42.62.62.92,
s90,u17_s4,10.6.5.81,data/xy/shengbei_s90_9090,shengbei_lianyun_s90,10.6.2.83,u17,3306,19014,42.62.62.92,
s91,1377_s14,10.6.8.102,data/xy/shengbei_s91_9091,shengbei_lianyun_s91,10.6.8.220,1377,3306,19114,42.62.62.19,
s92,1377_s15,10.6.1.45,data/xy/shengbei_s92_9092,shengbei_lianyun_s92,10.6.8.220,1377,3306,19214,42.62.56.216,
s93,1377_s16,10.6.6.10,data/xy/shengbei_s93_9093,shengbei_lianyun_s93,10.6.8.220,1377,3306,19314,42.62.56.209,
s94,awo_s8,10.6.5.216,data/xy/shengbei_s94_9094,shengbei_lianyun_s94,10.6.3.24,awo,3306,19414,42.62.26.63,
s95,awo_s9,10.6.5.216,data/xy/shengbei_s95_9095,shengbei_lianyun_s95,10.6.3.24,awo,3306,19514,42.62.26.63,
s96,awo_s10,10.6.5.216,data/xy/shengbei_s96_9096,shengbei_lianyun_s96,10.6.3.24,awo,3306,19614,42.62.26.63,
s97,awo_s11,10.6.8.98,data/xy/shengbei_s97_9097,shengbei_lianyun_s97,10.6.3.24,awo,3306,19714,42.62.50.194,
s98,pptv_s3,10.6.8.243,data/xy/shengbei_s98_9098,shengbei_lianyun_s98,10.6.1.238,pptv,3306,19814,42.62.62.89,
s99,renren_s6,10.6.5.72,data/xy/shengbei_s99_9099,shengbei_lianyun_s99,10.6.3.95,renren,3306,19914,42.62.26.73,
s100,renren_s7,10.6.5.72,data/xy/shengbei_s100_9100,shengbei_lianyun_s100,10.6.3.95,renren,3306,20014,42.62.26.73,
s101,renren_s8,10.6.5.72,data/xy/shengbei_s101_9101,shengbei_lianyun_s101,10.6.3.95,renren,3306,20114,42.62.26.73,
s102,4399_s3,10.6.1.52,data/xy/shengbei_s102_9102,shengbei_lianyun_s102,10.6.6.162,4399,3306,20214,42.62.62.87,
s103,91wan_s2,10.6.5.169,data/xy/shengbei_s103_9103,shengbei_lianyun_s103,10.6.5.191,91wan,3306,20314,42.62.3.179,
s104,smggame_s2,10.6.4.233,data/xy/shengbei_s104_9104,shengbei_lianyun_s104,10.6.5.160,smggame,3306,20414,42.62.56.33,
